City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Zhigansk,66.7697,123.3711,27.23,82,57,16.89,RU,1634854721
Chumikan,54.7183,135.315,26.17,90,14,17.25,RU,1634854721
Kilkis,40.9919,22.8708,58.8,89,0,1.14,GR,1634854722
Inongo,-1.95,18.2667,72.64,89,100,3.85,CD,1634854722
San Juan,-31.5375,-68.5364,85.28,14,0,6.78,AR,1634854429
Umluj,25.0213,37.2685,78.62,62,0,11.7,SA,1634854722
Kutum,14.2,24.6667,77.02,21,100,13.44,SD,1634854723
Américo Brasiliense,-21.7244,-48.1017,68.97,49,3,6.51,BR,1634854723
Yulara,-25.2406,130.9889,71.44,23,0,10.36,AU,1634854723
Granada,37.1882,-3.6067,67.19,69,0,3.0,ES,1634854577
Sambava,-14.2667,50.1667,70.3,90,32,3.89,MG,1634854724
Elizabeth City,36.2946,-76.2511,77.02,55,1,1.99,US,1634854724
Hofn,64.2539,-15.2082,33.73,60,1,13.02,IS,1634854725
Celestún,20.8667,-90.4,80.89,81,99,11.43,MX,1634854725
Salé,34.0389,-6.8166,69.82,94,40,0.0,MA,1634854725
Acapulco de Juárez,16.8634,-99.8901,83.35,74,72,5.12,MX,1634854521
Polovinnoye,54.7914,65.9864,29.53,82,35,9.82,RU,1634854726
Kastraki,39.7156,21.6181,58.26,81,2,4.29,GR,1634854726
Brewster,41.3973,-73.6171,69.08,70,1,6.91,US,1634854727
Sitka,57.0531,-135.33,51.69,62,90,13.8,US,1634854727
Te Anau,-45.4167,167.7167,52.18,71,35,1.36,NZ,1634854727
Almancil,37.0869,-8.0307,63.77,63,0,16.11,PT,1634854727
Ushumun,52.7833,126.5333,28.85,81,32,5.82,RU,1634854728
Alyangula,-13.8483,136.4192,82.89,69,93,9.78,AU,1634854728
Fukuechō,32.6881,128.8419,64.04,56,88,22.91,JP,1634854729
Khomutovo,52.4658,104.4025,27.21,89,0,3.6,RU,1634854729
Newport,51.5877,-2.9984,49.82,85,14,8.05,GB,1634854729
Pevek,69.7008,170.3133,12.54,91,100,13.6,RU,1634854729
Pithorāgarh,29.5833,80.2167,56.62,95,60,1.81,IN,1634854730
Cascais,38.6979,-9.4215,62.51,69,10,5.01,PT,1634854730
Benjamin Constant,-4.3831,-70.0311,87.93,66,20,1.14,BR,1634854730
Stornoway,58.2093,-6.3865,46.36,81,75,12.66,GB,1634854731
Grindavik,63.8424,-22.4338,37.87,60,75,6.91,IS,1634854731
Ilo,-17.6394,-71.3375,62.06,79,22,6.33,PE,1634854731
Teahupoo,-17.8333,-149.2667,78.76,81,43,10.8,PF,1634854732
Beaupré,47.0443,-70.8953,53.94,97,100,2.3,CA,1634854732
Komsomolsk-on-Amur,50.552,137.0152,26.38,94,94,1.59,RU,1634854732
Abhā,18.2164,42.5053,62.42,22,0,5.75,SA,1634854733
Izhma,65.0083,53.9113,30.88,96,100,8.46,RU,1634854733
Maputo,-25.9653,32.5892,69.04,79,93,9.95,MZ,1634854733
Taltal,-25.4,-70.4833,62.47,66,24,6.15,CL,1634854522
Contramaestre,20.2978,-76.2414,80.71,83,99,5.75,CU,1634854734
Korla,41.7597,86.1469,53.28,31,0,5.95,CN,1634854734
Elmadağ,39.9208,33.2308,46.35,43,0,2.35,TR,1634854735
Suoyarvi,62.0833,32.35,42.37,99,100,7.14,RU,1634854735
Palekastro,35.2,26.25,64.74,66,0,1.95,GR,1634854735
Bilibino,68.0546,166.4372,-0.87,97,100,2.46,RU,1634854735
Jacmel,18.2342,-72.5347,85.84,82,78,4.12,HT,1634854736
Los Llanos de Aridane,28.6585,-17.9182,71.35,73,90,11.5,ES,1634854736
São Félix do Xingu,-6.6447,-51.995,79.66,75,91,0.98,BR,1634854736
Szydłowiec,51.2282,20.8611,52.38,55,28,19.6,PL,1634854737
Hambantota,6.1241,81.1185,78.64,86,34,9.78,LK,1634854737
Ambon City,-3.6954,128.1814,75.34,94,40,6.91,ID,1634854737
Koutiala,12.3917,-5.4642,83.93,59,70,10.83,ML,1634854659
Daru,-9.0763,143.2092,82.36,75,76,8.25,PG,1634854738
Bud,39.447,-86.1758,57.24,73,76,14.09,US,1634854738
Koumra,8.9126,17.5539,70.52,94,75,1.68,TD,1634854738
Juegang,32.3174,121.1855,53.98,78,40,13.06,CN,1634854739
Linfen,36.0889,111.5189,49.14,41,97,0.76,CN,1634854739
Westport,41.1415,-73.3579,69.35,73,1,1.01,US,1634854709
Vila Velha,-20.3297,-40.2925,69.75,78,90,12.66,BR,1634854528
Morondava,-20.2833,44.2833,70.79,78,0,10.6,MG,1634854740
Eenhana,-17.4667,16.3333,74.95,22,7,8.48,NA,1634854740
Agadez,19.75,10.25,83.23,15,0,9.19,NE,1634854740
Carballo,43.213,-8.691,56.86,93,22,2.28,ES,1634854741
Padang,-0.9492,100.3543,73.45,86,98,3.67,ID,1634854742
Kemin,42.7846,75.6892,36.64,99,100,5.19,KG,1634854742
La Ronge,55.1001,-105.2842,41.25,38,3,10.36,CA,1634854510
Fergus Falls,46.283,-96.0776,46.38,63,1,4.0,US,1634854743
Eugene,44.0521,-123.0867,73.54,58,90,4.0,US,1634854695
Fujimi,35.8578,139.5577,55.08,81,100,9.19,JP,1634854744
Zhezkazgan,47.8043,67.7144,34.03,72,13,11.81,KZ,1634854744
Kuah,6.3265,99.8432,78.78,94,20,1.14,MY,1634854744
Alice Springs,-23.7,133.8833,72.95,27,0,6.91,AU,1634854745
Lagunas,-5.2269,-75.6753,85.91,62,80,3.74,PE,1634854745
Raudeberg,61.9875,5.1352,41.86,80,100,7.0,NO,1634854745
Mayumba,-3.432,10.6554,76.59,89,100,9.15,GA,1634854746
Mabaruma,8.2,-59.7833,75.18,97,100,6.11,GY,1634854746
Karasburg,-28.0167,18.75,57.99,72,29,7.36,NA,1634854746
Stromness,58.965,-3.296,44.56,85,96,18.01,GB,1634854747
Kudahuvadhoo,2.6708,72.8944,81.7,70,19,9.93,MV,1634854747
Havøysund,70.9963,24.6622,34.68,68,100,29.68,NO,1634854747
Galle,6.0367,80.217,79.52,83,53,5.93,LK,1634854748
Tawang Town,27.5833,91.8667,47.21,92,76,1.19,IN,1634854748
Paamiut,61.994,-49.6678,37.08,46,71,6.29,GL,1634854748
Puerto Maldonado,-12.6,-69.1833,95.4,43,0,4.61,PE,1634854749
Dawlatabad,36.4141,64.9053,51.78,53,99,6.44,AF,1634854749
Laas,46.6166,10.7002,51.03,87,67,3.91,IT,1634854749
Toamasina,-18.1667,49.3833,71.6,94,20,4.61,MG,1634854750
Fare,-16.7,-151.0167,79.03,74,45,9.19,PF,1634854750
Chemin Grenier,-20.4872,57.4656,73.56,83,2,5.68,MU,1634854751
Kem',64.9555,34.5793,36.23,93,100,10.63,RU,1634854751
Sarh,9.1429,18.3923,76.91,88,20,0.0,TD,1634854751
Mosjøen,65.836,13.1908,41.0,82,94,8.43,NO,1634854752
Straumen,63.8709,11.2999,41.0,88,100,21.99,NO,1634854752
Moroto,2.5345,34.6666,72.19,54,55,12.97,UG,1634854752
Pokosnoye,55.5258,101.0536,31.33,81,71,4.27,RU,1634854753
Departamento de Maldonado,-34.6667,-54.9167,65.23,82,11,7.94,UY,1634854753
Coro,11.4045,-69.6734,82.99,76,8,19.53,VE,1634854754
Birao,10.2849,22.7882,75.49,73,100,3.49,CF,1634854754
Orlik,52.5178,99.825,28.15,47,1,2.75,RU,1634854754
Harper,4.375,-7.7169,77.63,87,96,8.1,LR,1634854755
Minsk,53.9,27.5667,55.15,67,90,21.27,BY,1634854601
Kavaratti,10.5669,72.642,81.63,77,100,9.44,IN,1634854755
Nekhayevskiy,50.4106,41.7561,50.45,53,94,18.97,RU,1634854756
Pryyutivka,48.7209,33.0708,51.76,86,100,18.79,UA,1634854756
Yar-Sale,66.8333,70.8333,28.71,92,100,6.2,RU,1634854756
Jining,35.405,116.5814,47.95,75,5,5.14,CN,1634854757
Krasnoarmeysk,51.0239,45.6969,53.08,62,100,21.43,RU,1634854758
Pisco,-13.7,-76.2167,66.25,68,0,18.41,PE,1634854759
Port-Gentil,-0.7193,8.7815,77.83,85,100,12.95,GA,1634854760
Yagoua,10.3411,15.2329,76.21,73,61,6.49,CM,1634854760
Yārāda,17.65,83.2667,80.92,100,40,2.3,IN,1634854760
Ulaangom,49.9811,92.0667,30.24,67,49,2.26,MN,1634854761
Merauke,-8.4667,140.3333,79.74,81,94,6.42,ID,1634854761
Buckeye,33.3703,-112.5838,92.25,19,7,4.61,US,1634854761
Blagoyevo,63.3667,47.9167,33.94,99,100,5.26,RU,1634854762
Betsiamites,48.9413,-68.646,48.29,86,100,5.48,CA,1634854762
Quelimane,-17.8786,36.8883,67.95,83,20,0.0,MZ,1634854762
San Policarpo,12.1791,125.5072,81.01,83,86,10.63,PH,1634854763
Meadow Lake,34.8014,-106.5436,75.97,17,8,4.25,US,1634854763
Sokoni,-6.4333,39.55,77.29,80,33,11.59,TZ,1634854764
Dogbo,6.8167,1.7833,75.02,94,99,3.8,BJ,1634854764
Shōbara,34.85,133.0167,52.65,81,100,1.92,JP,1634854764
Lorengau,-2.0226,147.2712,79.07,85,100,10.54,PG,1634854765
La Asuncion,11.0333,-63.8628,92.93,55,99,17.27,VE,1634854765
Novyye Gorki,56.7253,41.0601,49.26,90,100,11.83,RU,1634854765
Wencheng,33.0559,113.7978,51.67,83,99,1.95,CN,1634854766
Balclutha,-46.2339,169.75,56.64,54,6,3.44,NZ,1634854766
Kidal,18.4411,1.4078,85.33,19,4,9.46,ML,1634854767
Konëvo,62.1215,39.3192,39.38,99,100,5.97,RU,1634854767
Lubumbashi,-11.6609,27.4794,72.82,44,81,6.51,CD,1634854768
Talaya,61.3833,152.75,-17.52,91,20,1.92,RU,1634854768
Pandamatenga,-18.5278,25.627,72.21,49,68,7.61,BW,1634854768
Itarema,-2.9248,-39.9167,80.65,78,100,11.27,BR,1634854769
Soyo,-6.1349,12.3689,76.89,84,84,9.08,AO,1634854769
Santa Cruz de Barahona,18.2085,-71.1008,85.82,79,75,13.8,DO,1634854769
Gazojak,41.1875,61.4036,42.03,46,50,4.83,TM,1634854770
Fairbanks,64.8378,-147.7164,34.21,78,75,4.61,US,1634854536
Rudnya,54.947,31.0934,55.83,63,100,25.34,RU,1634854770
Naze,28.3667,129.4833,68.92,70,99,20.04,JP,1634854771
Moorhead,46.8739,-96.7676,44.98,49,1,3.0,US,1634854771
Wattegama,6.7989,81.4808,74.64,93,47,1.95,LK,1634854771
Vanimo,-2.6741,141.3028,79.02,84,99,3.29,PG,1634854772
San Jose,37.3394,-121.895,78.89,60,75,1.01,US,1634854518
Sisimiut,66.9395,-53.6735,27.39,84,40,12.28,GL,1634854772
Esim,4.8699,-2.2405,78.06,88,100,6.55,GH,1634854501
Campo Grande,-20.4428,-54.6464,78.35,44,0,5.75,BR,1634854773
Nador,35.174,-2.9287,70.05,64,0,11.5,MA,1634854773
Chlórakas,34.8042,32.4083,65.43,59,20,5.75,CY,1634854773
Sovetskiy,61.3614,63.5842,29.41,72,100,8.86,RU,1634854773
Tarnów,50.0138,20.987,54.37,56,38,15.23,PL,1634854774
Morón,-34.6534,-58.6198,77.0,51,10,8.05,AR,1634854774
Denpasar,-8.65,115.2167,80.26,88,40,8.05,ID,1634854774
Karatuzskoye,53.6072,92.8667,34.45,72,92,3.47,RU,1634854775
Kayes,14.0,-11.0,80.6,29,58,7.4,ML,1634854775
Usinsk,65.9939,57.5281,27.99,96,100,13.44,RU,1634854776
Manono,-7.3,27.4167,70.75,93,75,2.66,CD,1634854776
Dzerzhinsk,56.2389,43.4631,50.83,87,20,11.18,RU,1634854776
Bundaberg,-24.85,152.35,79.21,72,90,7.0,AU,1634854776
Huilong,31.8111,121.655,55.04,80,73,12.3,CN,1634854777
Oranjemund,-28.55,16.4333,58.77,75,6,16.37,NA,1634854777
Gangānagar,29.9167,73.8833,75.27,30,0,8.12,IN,1634854778
Algiers,36.7525,3.042,60.62,67,0,2.3,DZ,1634854503
Portland,45.5234,-122.6762,74.28,53,90,3.0,US,1634854675
Bontang,0.1333,117.5,76.55,89,94,4.36,ID,1634854778
Road Town,18.4167,-64.6167,84.29,78,40,10.36,VG,1634854636
Mildura,-34.2,142.15,67.06,59,4,3.44,AU,1634854779
Ramsgate,51.3358,1.4155,47.66,66,10,1.01,GB,1634854779
Bonthe,7.5264,-12.505,79.34,83,100,6.6,SL,1634854779
Gandorhun,7.5,-11.8333,74.91,96,100,2.44,SL,1634854780
Zapolyarnyy,69.4154,30.8136,33.08,91,100,25.19,RU,1634854780
Samarai,-10.6167,150.6667,81.99,71,41,11.77,PG,1634854780
Nerchinskiy Zavod,51.3088,119.61,25.52,82,8,4.18,RU,1634854781
Bose,45.4612,8.0137,53.49,89,1,4.79,IT,1634854781
Dakar,14.6937,-17.4441,81.48,75,55,5.5,SN,1634854753
Barão de Melgaço,-16.1944,-55.9675,97.32,42,94,4.07,BR,1634854781
Mumford,5.2618,-0.759,78.6,87,100,9.62,GH,1634854782
Jalu,29.0331,21.5482,70.5,46,2,7.96,LY,1634854782
Broken Hill,-31.95,141.4333,66.04,51,0,8.75,AU,1634854782
Noyabrsk,63.1994,75.4507,31.21,97,100,10.65,RU,1634854783
Pemangkat,1.1667,108.9667,77.79,84,99,6.33,ID,1634854783
Kawalu,-7.3817,108.2082,71.19,96,99,0.81,ID,1634854783
Emerald,-23.5333,148.1667,83.98,36,4,13.27,AU,1634854783
Mayya,61.7333,130.2811,34.92,98,100,10.51,RU,1634854784
Abu Dhabi,24.4667,54.3667,86.11,54,0,11.5,AE,1634854529
Bubaque,11.2833,-15.8333,82.9,75,100,8.48,GW,1634854784
Poya,-21.35,165.15,75.22,74,90,3.24,NC,1634854785
São João da Barra,-21.6403,-41.0511,67.15,75,79,7.56,BR,1634854785
Camopi,3.1655,-52.3158,79.23,71,72,3.89,GF,1634854785
Elliot,-31.3333,27.85,60.13,51,100,4.61,ZA,1634854786
Luganville,-15.5333,167.1667,79.59,81,100,4.97,VU,1634854786
Kupang,-10.1667,123.5833,77.58,100,20,3.44,ID,1634854786
Chandigarh,30.7343,76.7933,67.46,40,0,3.87,IN,1634854787
‘Ewa Beach,21.3156,-158.0072,84.15,62,75,10.0,US,1634854787
Ulladulla,-35.35,150.4667,66.09,84,32,2.15,AU,1634854788
Semey,50.4111,80.2275,43.86,83,100,16.55,KZ,1634854789
Kilindoni,-7.9139,39.6668,77.5,77,19,12.08,TZ,1634854789
Bay City,43.5945,-83.8889,54.64,93,90,18.41,US,1634854707
